снег,белый
снег,мокрый
снег,грязный
снег,растаявший
снег,блестящий
лингвистика,занимательная
лингвистика,компьютерная
лингвистика,экспериментальная
лингвистика,фундаментальная
лингвистика,дискриптивная
сон,долгий
сон,крепкий
сон,двенадцатичасовой
сон,вещий
сон,долгожданный
письмо,электронное
письмо,рекомендательное
письмо,анонимное
письмо,интимное
письмо,академическое
путешествие,кругосветное
путешествие,сухопутное
путешествие,заграничное
путешествие,туристическое
путешествие,космическое
разочарование,горькое
разочарование,глубокое
разочарование,всеобщее
разочарование,страшное
разочарование,родительское
экзамен,госудраственный
экзамен,выпускной
экзамен,вступительный
экзамен,серьезный
экзамен,письменный
экзамен,очередной
